"Index","Date","DOY","Time","VPD","PAR","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LB0N10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
1,2017-06-01,152,645,0,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0
2,2017-06-01,152,700,-2.22e-16,147.6,0.0440101729082653,0.093116609531909,0.048019896190209,0.189513178671093,0.0760293804477151,0.0212064962485659,0.000758979843144619,0,0.220793218387999,0.312482096300461,0.0376739628495576,0.127653572529531,0,0.128275097140511,0.00088498421930168,0.186997528523929,0.233514723777299,NA,0,NA,0,0.000746582963081808,0.00270068609573421,0.0544680099158115,0.177499748064548,0.0533765127834127,0,0.0635685663338063,0.029415859809047,0.00120947603247884,NA,0.000421037262525605
3,2017-06-01,152,715,0,231.6,0.199986996958787,0.100269586484249,0.170339633151285,0.236515220794158,0.486052360241238,0.215365253004556,0.0316228447651482,0.0133079344690213,0.391388062529178,0.78350876590455,0.046869996881002,0.333898997613082,0,0.302478739628606,0.0405257715133704,0.564291216310403,0.246629534447868,NA,0,NA,0,0.165786309682209,0.00633954177183027,0.128140994912194,0.708920436882406,0.363200064547033,0,0.346837884632798,0.0390445890893579,0.0708030743966694,NA,0.0695147785515131
4,2017-06-01,152,730,0,304.2,0.398570276430113,0.257822655130806,0.345545239358099,0.236761406702284,0.836747290994811,0.368345142136998,0.373369646320938,0.0392364908235751,0.172386475591638,1.29884542721356,0.0497629600564254,0.45380078923392,0,0.365617548715585,0.317754645971547,0.666648909220256,0.259871938980298,NA,0,NA,0,0.324218534905285,0.010442895437698,0.133660582356481,1.27291472705577,0.740755547460875,0,0.675685718013872,0.10711092861161,0.362631973094615,NA,0.301462215922178
5,2017-06-01,152,745,0,385.9,0.715255187547599,0.577845108311945,0.624655887844123,0.524262842338533,1.45547488435703,0.700583755569432,0.493577579516129,0.164703786116569,0.758812466420372,1.92956472650702,0.052691283765839,0.801926953667182,0,0.770573060905546,0.374775610940932,1.23289911841905,0.27324691889018,NA,0,NA,0,0.491903435327917,0.0731879617390587,0.174016053084924,2.35547836945037,1.29119382421553,0,1.14752693401822,0.429201465417334,0.463866984725564,NA,0.398173135985258
6,2017-06-01,152,800,0,471.5,1.06556771375252,0.660784503308039,1.03433408654426,0.602848926383413,2.28529740111309,1.081552671761,0.965152243476087,0.362157868080191,0.905091828963716,2.72989808581537,0.0556470055569687,1.23035178267155,0,1.09788610122107,0.731335263948497,1.54599814523632,0.28674120131373,NA,0,NA,0,0.774671637001934,0.361925796619011,0.390160866705558,3.62617651742592,2.23954392937369,0,1.81871813066737,0.566545999162843,0.84507575932639,NA,0.636162314307768
7,2017-06-01,152,815,0,538.8,1.41570281681141,1.01992237155365,1.5095756469668,0.952881153360356,3.02037126962038,1.51758364211331,1.31411111548262,0.523945284293301,0.406064415799638,3.82261958230428,0.0105964221437723,1.52165526274646,0,1.54956500429612,0.928310120993276,2.12444992946449,0.3329120262287,NA,0,NA,0,0.932082424952301,0.453903821449146,0.544181306719672,5.14671744011423,3.37644721473443,0,2.6840905390354,0.960880697673507,1.13588896123554,NA,0.952999573468054
8,2017-06-01,152,830,0,627.3,1.68425127617364,1.28079628293366,2.24559261875525,1.30845325527053,4.53021221221268,2.28829796023272,2.34271411402245,1.26735310653764,0.923834243959374,5.69648955438242,0.0355412663170609,2.03294771689296,0,2.26821531297276,1.44900268438711,3.32314891407127,0.863231706777285,NA,0.00823939117285346,NA,0,1.31360800914014,0.886830864463132,0.614879304322794,8.08371048465804,5.27751999168157,0,4.30165152998389,1.54839749881889,1.7391042214773,NA,1.30757355565138
9,2017-06-01,152,845,0,727.1,1.65215551421336,1.79581746200194,3.738650903615,1.74235280191859,5.7159575947192,3.25181174622631,4.75223155045077,1.61579493328184,1.96361916166402,7.11698305109771,0.241736368020188,2.74909959035458,0,2.88493856099148,2.10821941656876,3.74255398675564,1.63975622554657,NA,0.869513121847461,NA,0,1.68866689049061,1.4271272595106,0.949862374271591,10.535886514307,6.19982190894953,0,6.28364951622838,2.07781613388989,2.33241403854203,NA,1.87482792425379
10,2017-06-01,152,900,0,841,2.03601969753104,2.12266067790649,4.46596030437168,2.05987409078517,6.98466929975545,4.15442935189156,9.76981815553699,2.3988470258897,4.09036315602559,8.44336002221196,1.24751872375755,4.09721288237991,1.06321009351818,5.23257379043604,4.00841245910312,4.35340518577114,4.02803669084592,NA,3.03147668568584,NA,0,1.94403942679964,3.04678671843163,1.32399188215823,16.6377939759703,7.94244287983628,0,8.29292716157106,2.90477747806161,3.23087695017918,NA,3.27889309778726
11,2017-06-01,152,915,0,949,4.03152904947421,2.81701053998539,5.24145941738973,2.57934784757438,12.9277800295357,7.04796660108927,20.2878686620422,5.33963272984095,10.3827358040747,11.7549895670236,5.05076319614996,7.69460606788193,4.85184426393892,13.1163749196032,9.30821262696105,6.81186419581356,9.24559333623503,NA,4.9816253194137,NA,0,3.44301002694028,9.08894157118654,2.22342908494502,31.6038591575121,12.1680922263703,1.14397193007969,10.8892490955268,5.85449553866926,5.66180942556454,NA,5.59207359111966
