Index,Date,DOY,Time,VPD,PAR,HBON9,HBOS9,HBIN9,HBIS9,HBON10,HBOS10,HBON11,HBON12,HBOS12,HBON13,HBON14,HBOS14,HBON15,HBON16,HBOS16,HBON17,HAON1,HAOS1,HAIN1,HAIS1,HAOS2,HAON2,HAON3,HAOS3,HAON4,HAOS4,HAON5,HAON6,HAOS6,HAON7,HAON8,HAOS8
1,8/1/2017,213,0,0.023779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
2,8/1/2017,213,15,0,0,0,0.015257932,0,0.006616174,0,0.011219051,0,0,0.010683539,0.013405761,0,0,0,0,0,0,0,0,0.000233428,NA,0,0,0.002546734,0.003197905,0,0.002917725,0,0,0,0,0,0.043528554
3,8/1/2017,213,30,0,0,0,0.035816169,0,0.019511692,0,0.005628081,0,0,0.020566443,0.011051032,0,0,0.030386837,0,0,0,0,0,0,NA,0,0,0,0.007506668,0,0,0,0,0,0,0,0
4,8/1/2017,213,45,-2.22E-16,0,0,0.018907226,0,0,0,0,0,0,0.026742051,0,0,0,0.061845207,0,0,0,0,0,0,NA,0,0,0,0.008063237,0,0,0,0,0,0,0,0
5,8/1/2017,213,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000772972,0,0,0,0,0,0,NA,0,0,0,0.012974539,0,0,0,0,0,0,0,0.032660362
6,8/1/2017,213,115,-2.22E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034537774,0,0,0,0,0,0,NA,0,0,0.1219326,0.018269426,0,0,0,0.076114125,0.073590539,0,0.607906046,0.103812452
7,8/1/2017,213,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01734329,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.28124974,0.505589157,0.00594321,0.932318289,0.597854005
8,8/1/2017,213,145,0,0,0,0,0,0,0,0,0,0,0,0.085635671,0,0,0.006848297,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.187041149,0.465264022,0,1.131484609,0.504065049
9,8/1/2017,213,200,0,0,0.015352836,0.005918785,0,0,0,0,0,0,0,0.139012836,0,0.010452288,0.005274889,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.449323145,0.331527303,0.290564804,0.890687929,0.686693513
10,8/1/2017,213,215,2.22E-16,0,0.055247698,0,0,0,0,0,0,0,0,0.09526434,0,0,0.096923547,0,0,0,0,0,0,NA,0,0.000630793,0,0,0,0,0,0.313890015,0.199518868,0.105753156,0.984954174,0.518869276
11,8/1/2017,213,230,0,0,0,0,0,0,0,0,0,0,0,0.065214818,0,0,0.01912225,0,0,0,0,0,0,NA,0,0.00229612,0,0,0,0,0,0,0,0,0.765910216,0.202760222
12,8/1/2017,213,245,2.22E-16,0,0,0,0,0,0,0,0,0,0,0.042307433,0,0,0.027042156,0,0,0,0,0,0,NA,0.021251733,0,0,0,0,0,0,0,0,0,0.559679556,0.033249271
13,8/1/2017,213,300,0,0,0.000883387,0,0,0,0,0,0,0,0,0.030210138,0,0,0.024978736,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.074896256,0
14,8/1/2017,213,315,0,0,0,0,0,0,0,0,0,0,0,0.092623171,0,0,0.018075937,0,0,0,0,0,0,NA,0,0.008712416,0,0,0,0,0,0,0,0,0.216839828,0.061069959
15,8/1/2017,213,330,0,0,0.057015646,0,0,0,0,0,0,0,0,0.153011289,0,0.036961551,0.00742706,0,0,0,0,0,0,NA,0.023267985,0.074378589,0,0,0,0,0,0,0,0,0.417506508,0.072646967
16,8/1/2017,213,345,0,0,0.064842741,0,0.001216255,0,0.089323473,0.001012818,0.093721645,0.180718899,0,0.180181621,0,0.133914554,0,0,0.045825855,0,0,0,0,NA,0.026960247,0.066039096,0,0,0.177154251,0,0.028665464,0,0,0,0.473455023,0.183609721
17,8/1/2017,213,400,0,0,0.026996645,0.191859775,0.013697638,0,0.101197836,0.013094675,0.039640384,0.095791161,0.008510446,0.17012106,0.000320699,0,0.054571848,0,0,0,0,0,0,NA,0.055657429,0.052210212,0,0,0.037003387,0,0.05004211,0.202955103,0.032943548,0,1.266541118,0.551172124
18,8/1/2017,213,415,0,0,0.001586024,0.068986237,0.017150296,0,0.03325558,0,0.016315874,0.024272079,0.02238232,0.124101977,0,0.018860986,0.082770313,0.070759454,0.025406943,0,0,0.039269034,0,NA,0.081951283,0.044429488,0,0.003824573,0.081081578,0.008253233,0.002609207,0.261180988,0.305245204,0.047530297,2.181439507,0.869280325
19,8/1/2017,213,430,-2.22E-16,0,0,0.006730762,0.013030877,0,0,0,0,0,0.038210748,0.050100019,0,0,0.044156516,0.046843083,0.043240061,0.001947986,0,0.022218716,0,NA,0.043558418,0.026666366,0,0,0,0.048053696,0.018936172,0.213870203,0.233601132,0,1.983235602,0.877668382
20,8/1/2017,213,445,0,0,0,0,0.009144735,0,0,0,0,0,0.021145339,0.051949406,0,0,0.047553911,0.000230943,0,0,0,0.038755445,0,NA,0.019319778,0.015304552,0,0,0.005801719,0.090228077,0,0.224137008,0.250024648,0.245251904,2.288228171,1.069922815
21,8/1/2017,213,500,0,0,0,0,0.005551328,0,0,0,0,0,0,0.034582259,0,0,0.02886808,0,0,0,0,0.007268086,0,NA,0.03206404,0.005417041,0,0,0,0.038120106,0.018936172,0.496038411,0.40545908,0.248063804,2.157118791,1.306882441
22,8/1/2017,213,515,0,0,0,0,0.002365084,0,0,0,0,0,0,0.004086473,0,0,0.012298439,0,0,0,0,0.003096365,0,NA,0.000288017,0.000864264,0,0,0,0,0.002609207,0.670914986,0.595359474,0.339573705,2.342714114,1.516097688
23,8/1/2017,213,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1.115728803,1.027904177,0.876444183,2.901712451,2.218918071
24,8/1/2017,213,545,0,1000,0.041171684,0.354381525,0,0,0.064131901,0.110128346,0.12188832,0.103789017,0.046624513,0.200256485,0.133865391,0.09279907,0,0.093151054,0.007498796,0.029224841,0.01636833,0,0,NA,0.046130918,0.055403884,0,0.036627185,0.16990254,0.087065716,0.037741791,1.504994008,1.1221971,1.432366549,3.313944715,2.327792288
25,8/1/2017,213,600,-2.22E-16,1000,0.198314164,0.385149436,0,0,0.263974949,0.170489665,0.352990268,0.314500642,0.097764814,0.297159884,0.268346671,0.507482354,0,0.138777698,0.139854992,0.226730158,0.170558259,0.059292849,0.12864503,NA,0.096719225,0.130395763,0,0.133234769,0.756713915,0.242592602,0.227716477,0.663162288,0.450711867,1.15402935,2.587844065,1.635168351
26,8/1/2017,213,615,0,1000,0.357965154,0.374537074,0,0.006685209,0.428691732,0.278149615,0.499812641,0.472883896,0.099195764,0.491955736,0.359616482,0.451741068,0,0.130171584,0.303271405,0.367032848,0.267110225,0.027848539,0.197282652,NA,0.103960896,0.27621004,0,0.056740024,0.906616721,0.298897524,0.188940489,2.122591866,1.807761746,2.741228251,4.538622821,3.608988702
27,8/1/2017,213,630,0,1000,0.351806298,0.437526087,0.006435369,0.095744995,0.590268053,0.450145994,0.647873149,0.65250249,0.094730386,0.589889233,0.544341214,0.507903244,0,0.156674163,0.346137589,0.468526838,0.43512266,0.015963034,0.319982143,NA,0.099428176,0.268416691,0,0.116090034,1.062303578,0.308739861,0.301300013,1.89555534,1.544571834,2.587629811,4.401250168,3.401689791
28,8/1/2017,213,645,2.22E-16,1000,0.454367521,0.672855797,0.063835856,0.154041141,0.77108516,0.511378086,0.83010723,0.942175594,0.090307977,0.750028537,0.705169438,0.575043337,0,0.292873954,0.473974341,0.471845815,0.449066063,0,0.315703313,NA,0.094937755,0.276163109,0,0.04808412,1.274727927,0.40106541,0.28353071,3.373144254,2.998623945,4.357106313,6.123928787,5.173137652
