"Index","Date","DOY","Time","VPD","PAR","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
1,2017-01-01,1,0,0.47267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
2,2017-01-01,1,15,0.46968,0,0,0.00207788267775341,0.0417898659570015,0.0155249255275492,0,0.00147872316274304,0.0306227356493181,0,0,0.0513737599676634,0.137858493190427,0.0413063525099414,0.0558659852037901,0.0296565046806108,0.498711269322972,0.0109077984103948,0.00241686364494169,0,0.0923174106239611,0,0,0,0.105713962084006,NA,0,0.0602330677454773,0,0.0471494022050269,0.0028421797307284,0.0431671656037457,0,0.0791803328967828
3,2017-01-01,1,30,0.46339,0,0,0,0.0237142527147954,0.0125785765696345,0,0,0.0178317451114294,0,0.0111794440163956,0,0,0.117371726147655,0,0,0.346651766268704,0,0,0,0.217530702705924,0,0,0,0.0164512208623547,NA,0,0,0,0.0453472388667651,0.00179887063096233,0,0,0
4,2017-01-01,1,45,0.45651,0,0,0,0.0821418791098854,0.00975705904236573,0,0,0.0150078423430478,0,0.118267675579577,0,0.0171999002203282,0.182436728631646,0,0,0,0,0,0,0.224096393934058,0.0339541186608747,0,0.0535454919165745,0.142163392984408,NA,0,0.00257129862095352,0,0.1159145568011,0.00542736580895638,0.0243047932021986,0,0.0249249322350265
5,2017-01-01,1,100,0.45069,0,0,0,0.0611194628536463,0.00708214115830124,0,0,0,0,0.152700486733089,0,0,0.078279202811798,0,0,0,0,0,0,0.218410593316293,0.0484156363940962,0.0276747161389687,0.258805189612274,0.215239844501319,NA,0,0,0,0.0928717414943433,0,0,0,0
6,2017-01-01,1,115,0.43989,0,0,0,0,0.00458707074552825,0,0,0.00572452529143807,0,0.109595416352581,0,0,0,0,0,0,0,0,0,0.212756904431319,0.0591838656556699,0.122528663929226,0.251748523034433,0.224493572925569,NA,0,0.0305916768167625,0,0.163188793866586,0,0.0368489600552908,0,0.087962215847783
7,2017-01-01,1,130,0.4365,0,0,0,0,0.00233074588892021,0,0,0,0,0.0253919480912135,0,0,0,0,0,0,0,0,0,0.207131270598233,0.0703453121847959,0.162597980343275,0.236889077571714,0.226309634194347,NA,0,0,0,0.131097295957014,0,0.0305606239003437,0,0.0527084802017638
8,2017-01-01,1,145,0.44243,0,0,0,0,0.000457451015454121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201534165485577,0.0103472821940237,0.0280378412788587,0.155063864752723,0.0832572166228476,NA,0,0,0,0,0,0,0,0
9,2017-01-01,1,200,0.43104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195961681103803,0,0,0.113868364330427,0.00229879497132575,NA,0,0,0,0,0,0,0,0
10,2017-01-01,1,215,0.42818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190423154490702,0,0,0.0630701902607128,0,NA,0,0,0,0,0,0,0,0
11,2017-01-01,1,230,0.42172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190847797616652,0,0,0.186692237796868,0,NA,0,0,0,0,0,0,0,0
12,2017-01-01,1,245,0.39841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37055077924385,0,0,0.172665750045508,0.0369358100754647,NA,0,0,0,0,0,0,0,0
13,2017-01-01,1,300,0.39738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504537955818379,0.0542811949420327,0.0365790057871439,0.158845805759756,0.0137163369037683,NA,0,0,0,0,0,0,0,0
14,2017-01-01,1,315,0.38388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497872435516389,0.124772782949861,0.0197740426122484,0.145252223891563,0,NA,0,0,0,0,0,0,0,0
15,2017-01-01,1,330,0.3856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491223619340229,0.198644990255676,0.0662185437801304,0.316507176898758,0,NA,0,0,0,0,0.0826692540705653,0,0,0
16,2017-01-01,1,345,0.36181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852063974267363,0,0.557483477554222,0.195310616212685,0.164899734969454,0.537313648372609,0,NA,0,0,0,0,0.216534898028994,0.0135117129231773,0,0
17,2017-01-01,1,400,0.38613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127856622823883,0,0.83668950858478,0.191982506975669,0.20059233638533,0.51079863692495,0,NA,0,0,0,0,0.17294081081261,0.0374770694482456,0,0
18,2017-01-01,1,415,0.39137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861604588395754,0.188665189512547,0.156766997410165,0.484591648178155,0,NA,0,0,0,0,0.13136667626703,0,0,0
19,2017-01-01,1,430,0.39681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846060001524247,0.185363136755356,0.0423437405802247,0.449683106683124,0,NA,0,0,0,0,0.042004000326615,0,0,0
20,2017-01-01,1,445,0.39697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838654530400498,0.182067745695056,0,0.432925959087485,0,NA,0,0,0,0,0,0,0,0
21,2017-01-01,1,500,0.38118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839348273947812,0.178783509892271,0,0.381496101255585,0,NA,0,0,0,0,0,0,0,0
22,2017-01-01,1,515,0.37963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831953902158358,0.17551055693087,0,0.314688201655085,0,NA,0,0,0,0,0,0,0,0
23,2017-01-01,1,530,0.32591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745050094575209,0.172253313046691,0,0.203885699659749,0,NA,0,0,0,0,0,0,0,0
24,2017-01-01,1,545,0.33721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599481926538395,0.169003306968861,0,0.299993450246846,0,NA,0,0,0,0,0,0,0,0
25,2017-01-01,1,600,0.34081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547914774729625,0.165764987331366,0,0.385444183037245,0,NA,0,0,0,0,0.0314729131413774,0,0,0
26,2017-01-01,1,615,0.33142,0,0,0,0,0,0,0,0,0,0,0,0,0.00374966020288236,0,0,0.456481051604082,0,0,0,0.53380630892907,0.162542744974116,0.0501783866251502,0.369177541715555,0,NA,0,0,0,0,0.0956719057924931,0.000419648157248514,0,0
