Date,DOY,Time,VPD,PAR,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6,Probe_7,Probe_8,Probe_9,Probe_10,Probe_11,Probe_12,Probe_13,Probe_14,Probe_15,Probe_16,Probe_17,Probe_18,Probe_19,Probe_20,Probe_21,Probe_22,Probe_23,Probe_24,Probe_25,Probe_26,Probe_27,Probe_28,Probe_29,Probe_30,Probe_31,Probe_32
3/1/2017,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2017,60,15,0,0,0,0,0,0,0,0,0,0,0.00046848,0.0018098,0,0,0.0022428,0.0038247,0,0.0017164,0,0,0,0,0,0,0.0012068,2.96E-05,0,0,8.70E-05,0.0054165,0.0062249,0,0,3.01E-05
3/1/2017,60,30,0,0,0,0,0,0,0,0,0,0,0,0.0003095,0,0,0,0,0,0,0,0,0,0,0,0,0.00070387,0,0,0,0,0.0033133,0.0018992,0,0,0.00033556
3/1/2017,60,45,-2.22E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016834,0,0,0,0
3/1/2017,60,100,2.22E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2017,60,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037509,0,0,0
3/1/2017,60,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057178,0.00067484,0,0,0,0,9.73E-05,0,0,0,0,0,0,0,0,0,0.004537,0,0,0
3/1/2017,60,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060784,0,0,0
3/1/2017,60,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043218,0,0,0,0,0,7.97E-05,0,0,0,0,0,0,0,0,0,0.0085083,0,0,0
3/1/2017,60,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012558,0,0,0
3/1/2017,60,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066442,0.00061938,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2017,60,245,0,0,0,0,0,0,0.00035364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001108,0.0013387,0,0,0,0,0.00015126,0,0,0,0.0069602,0,0,0
3/1/2017,60,300,0,0,0,0,0,0,5.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006469,0.001447,0,0.00028082,0,0,0,0,0,0,0.0070335,0,0,0
3/1/2017,60,315,2.22E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014023,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2017,60,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012045,0,0,0,0,0,0,0,0,0,0,0,0
