DOY,Interval,VPD,Date,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
152,Day,1.258993729,6/1/2017,1397.841071,1997.458636,1353.434013,867.9407821,612.1786674,1126.550551,1334.198503,2125.894836,835.0814882,824.5598855,1596.379866,1186.960258,593.61604,2560.56276,1790.074003,1251.983102,1403.100514,2033.188326,1893.581776,783.6302507,2249.227889,4287.678926,1810.091231,3537.968806,2639.105961,1356.798606,2999.747359,2187.676942,6415.58652,968.599665,1647.914442,2960.388741
153,Day,1.529624503,6/2/2017,1560.586484,2311.724494,1609.851826,913.2310901,713.5971493,1246.839733,1559.356068,2436.748706,909.7708884,1001.440405,1962.522783,1369.268757,693.9707156,2996.143341,2013.008611,1444.177017,1574.691241,2350.826745,2205.792944,848.9882643,2439.585583,4700.657467,2022.217292,3965.42806,3909.503243,1791.601793,3246.300804,2458.285972,7020.625115,1077.628176,1805.976703,3346.423441
154,Day,1.570033559,6/3/2017,1635.61605,2602.102617,1766.448772,967.8986243,749.0575549,1288.20031,1716.25672,2670.458675,893.3343458,1028.852025,2175.758066,1411.600062,715.5964392,3297.398834,2277.140197,1486.555996,1612.527193,2462.692766,2709.197379,814.4135188,2648.744649,5057.819731,2150.784025,4459.993457,3647.539652,1868.109335,3492.270787,2691.470197,7075.448263,954.6386467,2039.527238,3561.540812
155,Day,0.792730931,6/4/2017,1172.190926,1758.459788,1194.909046,801.0968007,564.8406569,949.844137,1125.557094,1956.07208,672.6249579,769.7372885,1393.88926,1060.685785,448.4704783,2414.303745,1598.591822,1093.057165,1261.211437,1788.455227,1533.133157,625.1469313,1964.840717,3774.353123,1505.334936,2572.091179,3013.518716,1527.307707,2510.393281,1971.962125,5339.852399,740.7275983,1423.173315,2693.374402
156,Day,0.161247526,6/5/2017,256.3558946,322.8761689,266.4490398,275.8649399,119.4462437,328.7993264,227.1840029,429.8256499,189.4694788,192.466739,283.5371725,289.2624006,134.4510105,587.8927963,295.2250635,347.4510836,595.5343275,564.360437,861.7876347,324.0732836,575.0788823,1063.980508,344.5226147,76.11252614,735.8611489,506.568299,643.0864286,490.329151,936.0601234,433.7066186,433.0381543,786.8636006
157,Day,1.229519661,6/6/2017,1283.464563,1715.030084,1245.827696,916.9909081,586.5284524,1090.103555,1158.92164,1853.509758,777.2738812,802.6644432,1472.657817,1146.956539,493.5466964,2212.396604,1606.812119,1185.745586,1343.963659,2070.095315,1759.038674,883.9324529,2014.803347,3765.006999,1644.42941,2871.172118,2833.982238,1371.132228,2722.49682,2092.248577,4777.402972,1198.65836,1590.21554,2800.495812
158,Day,1.004052542,6/7/2017,1289.063197,1706.928233,1258.489475,1012.26404,641.9503716,1167.805533,1191.880967,1875.55658,855.9607615,871.4317178,1404.315309,1215.860365,500.4493851,2298.550199,1519.303516,1291.09654,1438.020991,2080.292635,2054.055578,1014.284717,2035.28869,3850.665178,1687.477384,2963.733872,2710.668718,1627.005372,2748.340596,2061.188319,4263.246171,1194.08776,1617.213464,2897.438137
159,Day,0.654296569,6/8/2017,875.0370621,1265.313805,950.4662702,712.4720534,433.8881335,916.806534,864.1800628,1351.81656,582.9950188,602.9230443,1005.361227,915.4872476,352.8317637,1722.879972,1099.715295,1005.638783,1183.164306,1588.955185,1348.936916,871.439351,1570.429884,3000.073802,1270.091291,2066.270294,3120.05563,1351.355401,1980.786062,1561.824169,2811.152567,1065.541238,1185.736865,2325.213371
160,Day,1.163490847,6/9/2017,1484.272807,2155.981141,1510.963075,1016.946289,749.5507495,1249.913779,1453.147844,2234.786078,882.8074908,1011.965223,1751.861945,1350.477586,557.2690605,2635.662897,1937.396248,1391.151549,1527.350103,2361.633288,2371.920139,812.0707578,2408.695175,4832.270077,1957.071748,3543.415672,3665.53952,1803.854556,3098.657192,2537.761992,5828.093289,1174.830255,1753.249133,3279.423057
161,Day,1.377515254,6/10/2017,1664.060087,2433.015373,1679.792948,986.3821782,801.249341,1244.196163,1604.076119,2586.876454,867.6360845,1014.155892,2045.686512,1386.720339,324.1958015,2886.918294,2283.837757,1421.875391,1710.906855,2565.325954,2375.273757,665.3035458,2912.062133,5662.870767,2207.140105,4658.167247,5296.560805,1874.522027,3703.834696,2998.538018,9145.531708,976.049933,1933.552747,3609.387983
