DOY,Interval,VPD,Date,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
121,Day,0.195733833,5/1/2017,324.4508692,373.687185,295.8181558,269.1135972,106.0371971,317.8099861,260.1569319,486.9415214,218.6849714,146.3631008,272.0037608,339.0173657,134.5417007,711.2620417,358.0294956,382.8873197,1258.716018,534.8982995,478.710849,233.6598568,550.8296324,858.6706303,318.433047,496.433998,749.0372567,524.7951153,531.7159022,395.1016925,707.7797786,227.2665182,393.2142574,764.0951171
122,Day,1.629841786,5/2/2017,1572.510066,2199.851552,1400.571631,1221.57232,522.3874414,1177.055913,1250.832179,2164.052492,815.5613706,810.4586919,1616.917339,1293.641137,475.0892608,2121.944163,1909.947095,1293.220544,2768.054744,1727.859527,1643.456987,1022.40197,2151.572207,3205.17974,1620.119261,2833.184845,3082.710351,1743.940469,2451.601579,1906.716034,4176.691337,689.765173,1741.722924,2775.881979
123,Day,1.49609375,5/3/2017,1579.05569,2384.55122,1452.179721,1107.397756,503.5983022,1149.42242,1336.773969,2200.769092,813.0640783,793.4374942,1635.884319,1164.469746,695.245863,2106.523345,2124.777073,1214.809573,2889.033371,1752.50292,1914.784621,1135.741072,2255.113454,3308.854119,1590.511381,3310.851838,3407.438603,1745.028255,3591.812295,2056.261688,5414.107844,467.6585003,1765.039092,2744.328457
124,Day,0.529903243,5/4/2017,694.3904755,951.2040219,665.9634604,633.0480818,232.2035726,498.1833188,576.8985378,997.5453546,345.6199806,379.7921389,576.1793785,527.9051516,288.0988802,1145.017158,841.8645584,544.8470633,895.6102934,863.4076038,926.8991109,542.3365151,1244.48325,1500.024379,528.8164016,1303.503608,1708.489162,993.9576197,2416.228936,1068.926858,1989.941901,591.4884947,925.9700224,1575.201
125,Day,0.768243018,5/5/2017,849.9106809,975.1070323,751.3974962,898.152129,349.1493391,693.735298,767.3149142,1149.738271,545.1206845,603.411537,816.2216546,708.6086111,338.8494535,1560.035265,968.8026274,683.6603834,2139.946263,1137.765985,776.3741217,515.8762796,1306.826613,1765.674205,711.7610761,1514.688286,1697.102138,1307.206371,1815.771918,1279.648371,2085.608095,1641.996243,1130.840597,1733.442243
126,Day,0.761889273,5/6/2017,1030.835548,1227.617257,911.6219117,989.3424438,385.929714,897.110943,870.5722817,1329.118627,631.7142054,630.0987894,1010.787249,908.1621232,404.5871253,1592.132412,1168.19844,849.9822602,2655.805192,1296.284321,1064.755948,640.6168693,1478.702443,2131.940128,882.8841192,1643.015875,2176.703337,1459.783637,1673.842057,1426.14282,2274.208788,1173.752494,1280.884159,2120.087353
127,Day,1.105033393,5/7/2017,1451.557403,1997.088332,1310.252531,1073.869995,521.4642806,1177.087936,1226.979244,1908.209949,865.299862,828.6145157,1540.146117,1159.462925,590.3607922,2084.179077,1840.126639,1142.400757,4447.871269,1674.772024,1625.774521,945.3425795,1991.286692,3209.96329,1487.228875,2677.356417,3009.478719,1769.558998,2303.74309,1874.456973,4151.580022,960.7432545,1670.19535,2595.386202
128,Day,1.371558059,5/8/2017,1544.930546,2295.891339,1424.77186,1059.699648,547.4016862,1192.549645,1314.955926,2102.687077,891.9843889,894.9738578,1680.270972,1274.477334,627.1970018,2185.508594,2128.996761,1310.173754,4415.67108,1821.360719,1792.113877,1080.101828,2185.857966,3539.580039,1740.732174,3114.394547,3493.586041,1817.575303,1387.831463,2082.934931,4872.381851,986.01506,1761.689776,2791.203501
129,Day,0.071200868,5/9/2017,59.35178206,160.2008477,69.9289903,59.24047327,3.643645331,82.44566057,70.73086225,144.6147588,22.90712845,10.32936917,84.42682208,48.94804426,14.14438762,171.3000074,195.6789374,94.07118919,825.79241,146.2939956,294.5860037,172.6847117,322.7556191,319.9898825,126.6361227,337.2016158,483.0849298,195.5006928,490.4211272,205.1076098,587.0639594,21.51342955,139.1939767,329.4044008
130,Day,0.872246474,5/10/2017,1021.822936,1349.942355,1018.167137,846.7716641,466.3304223,986.4648258,1002.517708,1539.933949,718.7888281,625.567088,1247.141702,806.1785125,697.1759487,1804.632869,1476.036145,972.4483281,2331.059598,1615.05237,1285.145845,818.0955775,1958.244902,3008.810647,1219.186928,2578.527767,3151.33935,1504.81118,1867.875166,1694.393086,4914.447978,552.7591236,1467.871745,2163.200027
