System,Tree,Month,Diameter,r,Total Area,>40mm,20-40mm,0-20mm
1,HC7,May,14.85,5.925,110.2875736,11.64156428,36.75663405,61.88937528
1,HC7,Jun,15.1,6.05,114.9901451,13.20254313,38.32743037,63.4601716
1,HC7,Jul,15.15,6.075,115.9424404,13.52651987,38.64158964,63.77433087
1,HC7,Aug,15.1,6.05,114.9901451,13.20254313,38.32743037,63.4601716
1,HC7,Sep,15.4,6.2,120.7628216,15.20530844,40.21238597,65.34512719
1,HC7,Oct,15.45,6.225,121.7386788,15.55284713,40.52654523,65.65928646
1,HC7,Nov,15.5,6.25,122.718463,15.90431281,40.8407045,65.97344573
1,HC7,Dec,15.3,6.15,118.8228881,14.52201204,39.58406744,64.71680866
1,HC8,Jan,15.6,6.3,124.6898124,16.61902514,41.46902303,66.60176426
1,HC8,Feb,15.45,6.225,121.7386788,15.55284713,40.52654523,65.65928646
1,HC8,Mar,15.6,6.3,124.6898124,16.61902514,41.46902303,66.60176426
1,HC8,Apr,16.1,6.55,134.7821788,20.42820623,44.61061568,69.74335691
1,HC8,May,16.3,6.65,138.9290811,22.06183441,45.86725274,70.99999397
1,HC8,Jun,16.475,6.7375,142.6091624,23.54280082,46.96681017,72.0995514
1,HC8,Jul,16.625,6.8125,145.8018059,24.85048876,47.90928797,73.0420292
1,HC8,Aug,16.7,6.85,147.4113813,25.51758633,48.38052687,73.51326809
1,HC8,Sep,17,7,153.93804,28.27433388,50.26548246,75.39822369
1,HC8,Oct,17.35,7.175,161.7311533,31.66921744,52.46459731,77.59733854
1,HC8,Nov,17,7,153.93804,28.27433388,50.26548246,75.39822369
1,HC8,Dec,16.95,6.975,152.8404461,27.80505848,49.95132319,75.08406442
1,HC9,Jan,16.25,6.625,137.8864651,21.64753688,45.55309348,70.68583471
1,HC9,Feb,16.1,6.55,134.7821788,20.42820623,44.61061568,69.74335691
1,HC9,Mar,16.25,6.625,137.8864651,21.64753688,45.55309348,70.68583471
1,HC9,Apr,16.75,6.875,148.4893403,25.96722678,48.69468613,73.82742736
1,HC9,May,17.05,7.025,155.039561,28.74753628,50.57964172,75.71238295
1,HC9,Jun,17.35,7.175,161.7311533,31.66921744,52.46459731,77.59733854
1,HC9,Jul,17.6,7.3,167.4154725,34.211944,54.03539364,79.16813487
1,HC9,Aug,17.7,7.35,169.7166891,35.25652355,54.66371217,79.7964534
1,HC9,Sep,17.95,7.475,175.538453,37.93669479,56.2345085,81.36724973
1,HC9,Oct,17.25,7.125,159.4849146,30.67961576,51.83627878,76.96902001
1,HC9,Nov,18,7.5,176.7145868,38.48451001,56.54866776,81.68140899
1,HC9,Dec,18.1,7.55,179.0786352,39.59192142,57.1769863,82.30972752
1,LO10,Jan,17.6,7.3,167.4154725,34.211944,54.03539364,79.16813487
1,LO10,Feb,17.3,7.15,160.6060704,31.17245311,52.15043805,77.28317928
1,LO10,Mar,17.625,7.3125,167.989304,34.47161627,54.19247327,79.3252145
1,LO10,Apr,18.225,7.6125,182.0557851,40.998275,57.96238446,83.09512569
1,LO10,May,18.675,7.8375,192.9767466,46.26436969,60.78981785,85.92255908
1,LO10,Jun,19.05,8.025,202.3205304,50.89576448,63.14601234,88.27875357
1,LO10,Jul,19.475,8.2375,213.1771874,56.41171396,65.81636609,90.94910732
1,LO10,Aug,19.75,8.375,220.3532722,60.13204689,67.54424205,92.67698328
1,LO10,Sep,19.95,8.475,225.6468558,62.91235638,68.80087911,93.93362034
1,LO10,Oct,19.175,8.0875,205.4842124,52.48865013,63.9314105,89.06415173
1,LO10,Nov,20.2,8.6,232.3521927,66.47610055,70.37167544,95.50441667
1,LO10,Dec,20.25,8.625,233.705041,67.20063036,70.68583471,95.81857593
1,LO11,Jan,19.4,8.2,211.24069,55.41769441,65.34512719,90.47786842
1,LO11,Feb,19.2,8.1,206.119894,52.81017251,64.08849013,89.22123136
1,LO11,Mar,19.25,8.125,207.3942025,53.4561625,64.4026494,89.53539063
1,LO11,Apr,19.75,8.375,220.3532722,60.13204689,67.54424205,92.67698328
1,LO11,May,20.25,8.625,233.705041,67.20063036,70.68583471,95.81857593
1,LO11,Jun,20.8,8.9,248.8455541,75.42963961,74.14158662,99.27432785
1,LO11,Jul,21.35,9.175,264.4612331,84.13381476,77.59733854,102.7300798
1,LO11,Aug,21.6,9.3,271.7163486,88.24733764,79.16813487,104.3008761
1,LO11,Sep,21.6,9.3,271.7163486,88.24733764,79.16813487,104.3008761
1,LO11,Oct,20,8.5,226.9800692,63.61725124,69.11503838,94.24777961
1,LO11,Nov,21.9,9.45,280.5520779,93.31315579,81.05309046,106.1858317
1,LO11,Dec,21.8,9.4,277.5911269,91.60884178,80.42477193,105.5575132
1,LO12,Jan,20.9,8.95,251.6494255,76.97687399,74.76990516,99.90264638
1,LO12,Feb,20.9,8.95,251.6494255,76.97687399,74.76990516,99.90264638
1,LO12,Mar,21.05,9.025,255.8846851,79.327178,75.71238295,100.8451242
1,LO12,Apr,21.55,9.275,270.2574715,87.41677908,78.85397561,103.9867168
1,LO12,May,22,9.5,283.528737,95.03317777,81.68140899,106.8141502
1,LO12,Jun,22.4,9.7,295.5924528,102.0703453,84.19468312,109.3274243
1,LO12,Jul,22.75,9.875,306.3543711,108.4340339,86.39379797,111.5265392
1,LO12,Aug,22.9,9.95,311.0255267,111.2202339,87.33627577,112.469017
1,LO12,Sep,23.1,10.05,317.308712,114.9901451,88.59291283,113.7256541
1,LO12,Oct,22,9.5,283.528737,95.03317777,81.68140899,106.8141502
1,LO12,Nov,23,10,314.1592654,113.0973355,87.9645943,113.0973355
1,LO12,Dec,23,10,314.1592654,113.0973355,87.9645943,113.0973355
1,LO13,Jan,16.6,6.8,145.2672443,24.6300864,47.75220833,72.88494956
1,LO13,Feb,16.5,6.75,143.1388153,23.75829444,47.1238898,72.25663103
1,LO13,Mar,16.6,6.8,145.2672443,24.6300864,47.75220833,72.88494956
1,LO13,Apr,17.05,7.025,155.039561,28.74753628,50.57964172,75.71238295
1,LO13,May,17.35,7.175,161.7311533,31.66921744,52.46459731,77.59733854
1,LO13,Jun,17.65,7.325,168.5641173,34.73227028,54.34955291,79.48229414
1,LO13,Jul,17.65,7.325,168.5641173,34.73227028,54.34955291,79.48229414
1,LO13,Aug,17.5,7.25,165.1299639,33.1830724,53.40707511,78.53981634
1,LO13,Sep,17.8,7.4,172.0336137,36.31681108,55.2920307,80.42477193
1,LO13,Oct,18.6,7.8,191.134497,45.36459792,60.31857895,85.45132018
1,LO13,Nov,17.7,7.35,169.7166891,35.25652355,54.66371217,79.7964534
1,LO13,Dec,17.6,7.3,167.4154725,34.211944,54.03539364,79.16813487
1,LO14,Jan,18,7.5,176.7145868,38.48451001,56.54866776,81.68140899
1,LO14,Feb,17.8,7.4,172.0336137,36.31681108,55.2920307,80.42477193
1,LO14,Mar,18.05,7.525,177.8946475,39.03625222,56.86282703,81.99556826
1,LO14,Apr,18.65,7.825,192.3616817,45.96346402,60.63273821,85.76547944
1,LO14,May,19.2,8.1,206.119894,52.81017251,64.08849013,89.22123136
